2	52	55
6	85	96
10	132	144
14	183	177
18	238	230
22	353	317
26	420	370
30	532	461
34	609	532
38	635	545
42	933	761
46	967	793
50	1020	842
54	1053	859
58	1237	998
62	1270	1030
66	1322	1159
70	1511	1261
74	1681	1422
78	1794	1460
82	1993	1560
86	2114	1689
90	2306	1804
94	2391	1825
98	2666	1983
102	2782	2052
106	3000	2175
110	3242	2333
114	3332	2347
118	3492	2433
122	3789	2626
126	4216	2767
130	4401	2856
134	4566	2966
138	4677	3015
142	5633	3373
146	5472	3310
150	5529	3399
154	5905	3568
158	6050	3628
162	6333	3729
166	6445	3804
170	7624	4213
174	8911	4769
178	7297	4132
182	8320	4516
186	8040	4440
190	8878	4700
194	8670	4672
198	9261	4863
202	9339	4938
206	9801	5116
210	10665	5337
214	11433	5576
218	10832	5428
222	10731	5389
226	11462	5659
230	11883	5721
234	11853	5798
238	12583	5988
242	13493	6257
246	13274	6234
250	13816	6433
254	14175	6495
258	14769	6634
262	15212	6832
266	15633	6976
270	15825	7008
274	16285	7132
278	17140	7343
282	17227	7464
286	17548	7483
290	18196	7694
294	18521	7804
298	19165	7982
302	19725	8121
306	19870	8138
310	20323	8305
314	20845	8476
318	21575	8631
322	22077	8698
326	22990	8915
330	23162	9025
334	24990	9484
338	24178	9282
342	24345	9399
346	25719	9760
350	25386	9683
354	26946	9851
358	26386	9889
362	27468	10071
366	28247	10253
370	28088	10348
374	29121	10472
378	29394	10594
382	30000	10729
386	30995	10898
390	31768	11136
394	32098	11172
398	33589	11520
402	33729	11431
406	33297	11378
410	34541	11605
414	34680	11704
418	36279	11989
422	36343	12057
426	36790	12219
430	38035	12521
434	38430	12494
438	39158	12662
442	40117	12840
446	40289	12769
450	42276	13238
454	41796	13149
458	42461	13208
462	43833	13522
466	44342	13551
470	44480	13725
474	45843	13924
478	46175	13926
482	46938	14131
486	48927	14345
490	48203	14371
494	48910	14521
498	49743	14693
502	50777	14825
506	51311	15019
510	51789	15216
